City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Puerto Quijarro,BO,-17.7833,-57.7667,96.31,20,45,5.68,scattered clouds
277,Asau,RO,46.4333,26.4,34.72,89,56,6.11,broken clouds
278,Nipawin,CA,53.3668,-104.0009,8.64,78,100,4.61,overcast clouds
279,Mao,ES,39.8885,4.2658,52.36,76,20,4.61,few clouds
280,Ust-Koksa,RU,50.2696,85.6108,1.69,97,99,1.59,overcast clouds
281,Olhao,PT,37.0286,-7.8411,60.69,67,0,8.05,clear sky
282,Vardo,NO,70.3705,31.1107,26.58,80,75,13.8,broken clouds
283,Kushiro,JP,42.975,144.3747,16.72,84,20,4.21,few clouds
284,Sao Francisco,BR,-15.9486,-44.8644,80.96,77,82,0.81,broken clouds
285,Yamada,JP,39.4667,141.95,32.85,70,100,0.69,overcast clouds
286,Muros,ES,42.7762,-9.0603,59.5,80,0,6.33,clear sky
287,Bafilo,TG,9.35,1.2667,93.27,13,31,4.36,scattered clouds
288,Hirara,JP,24.8,125.2833,68.59,76,87,8.59,overcast clouds
289,Samarai,PG,-10.6167,150.6667,81.01,77,100,10.71,overcast clouds
290,Dawei,MM,14.0833,98.2,72.34,66,14,2.93,few clouds
291,Znamenskoye,RU,57.1281,73.8282,-8.0,98,29,4.23,scattered clouds
292,La Rioja,ES,42.25,-2.5,50.31,80,0,2.24,clear sky
293,Riyadh,SA,24.6877,46.7219,64.54,24,0,8.63,clear sky
294,Baie-Comeau,CA,49.2168,-68.1489,29.88,86,100,6.91,overcast clouds
295,Fortuna,US,40.5982,-124.1573,64.74,47,99,4.36,overcast clouds
296,Caravelas,BR,-17.7125,-39.2481,84.96,61,67,10.76,broken clouds
297,Lomovka,RU,53.9194,58.3672,-4.88,100,97,0.83,overcast clouds
298,Ancud,CL,-41.8697,-73.8203,72.43,63,71,11.16,broken clouds
299,Alofi,NU,-19.0595,-169.9187,75.09,94,91,4.61,overcast clouds
300,Longyearbyen,SJ,78.2186,15.6401,8.44,72,75,10.36,broken clouds
301,Marystown,CA,47.1666,-55.1483,38.86,100,100,8.99,overcast clouds
302,Pangnirtung,CA,66.1451,-65.7125,-13.0,58,20,0.0,few clouds
303,Medina,SA,24.4686,39.6142,79.23,34,0,9.22,clear sky
304,Waw,SS,7.7029,27.9953,83.82,19,89,3.56,overcast clouds
305,Simplicio Mendes,BR,-7.8539,-41.9103,101.14,21,15,1.68,few clouds
306,Mumford,GH,5.2618,-0.759,80.6,80,36,11.5,scattered clouds
307,Baker City,US,44.7749,-117.8344,44.64,86,100,3.44,mist
308,Wajima,JP,37.4,136.9,39.87,73,100,9.26,light rain
309,San Francisco Del Mar,MX,16.2333,-94.65,77.07,58,3,24.7,clear sky
310,Peniche,PT,39.3558,-9.3811,67.95,72,0,2.21,clear sky
311,Brigantine,US,39.4101,-74.3646,51.35,57,0,10.36,clear sky
312,Gorgan,IR,36.8387,54.4348,44.56,81,0,0.0,clear sky
313,Tete,MZ,-16.1564,33.5867,86.09,62,75,3.44,broken clouds
314,Chabahar,IR,25.2919,60.643,71.02,60,0,6.46,clear sky
315,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,40,17.27,scattered clouds
316,Solon,US,41.3898,-81.4412,43.29,100,100,11.21,overcast clouds
317,Carutapera,BR,-1.195,-46.02,80.37,85,50,5.97,scattered clouds
318,Aden,YE,12.7794,45.0367,77.04,70,2,15.86,clear sky
319,Port Lincoln,AU,-34.7333,135.8667,60.76,73,92,6.91,overcast clouds
320,Namibe,AO,-15.1961,12.1522,74.93,75,100,12.84,overcast clouds
321,Ucluelet,CA,48.9329,-125.5528,48.09,93,100,5.35,overcast clouds
322,Kruisfontein,ZA,-34.0033,24.7314,68.88,81,0,4.88,clear sky
323,Matamoros,MX,25.5333,-103.25,56.1,31,6,2.53,clear sky
324,Ashland,US,40.8167,-82.2665,44.74,62,100,15.52,overcast clouds
325,Kjollefjord,NO,70.9457,27.3465,24.85,73,0,29.93,clear sky
326,Gueret,FR,46.1667,1.8667,50.63,75,22,6.51,few clouds
327,Beringovskiy,RU,63.05,179.3167,-20.4,89,8,7.81,clear sky
328,Sawtell,AU,-30.3833,153.1,61.12,94,7,1.14,clear sky
329,Lorengau,PG,-2.0226,147.2712,80.94,81,47,4.32,scattered clouds
330,Rome,US,34.257,-85.1647,60.22,37,0,12.66,clear sky
331,Ellisras,ZA,-23.6649,27.7443,77.2,50,82,4.65,broken clouds
332,Darhan,MN,49.4867,105.9228,-1.17,93,100,4.83,overcast clouds
333,Ciudad Bolivar,VE,8.1222,-63.5497,94.51,31,98,8.5,overcast clouds
334,Lahat,ID,-3.8,103.5333,72.77,81,100,1.95,overcast clouds
335,Airai,TL,-8.9266,125.4092,61.29,93,100,1.21,overcast clouds
336,Muborak,UZ,39.2553,65.1528,46.42,38,100,9.48,overcast clouds
337,Goundam,ML,16.4145,-3.6708,81.73,6,0,10.45,clear sky
338,Dongsheng,CN,39.8161,109.9776,19.78,58,0,11.1,clear sky
339,Taksimo,RU,56.3444,114.8794,-10.7,95,96,1.74,overcast clouds
340,Pueblo,US,38.2545,-104.6091,52.41,35,0,5.99,clear sky
341,Luderitz,NA,-26.6481,15.1594,76.24,49,3,22.88,clear sky
342,Brownsville,US,25.9018,-97.4975,68.02,45,0,3.44,clear sky
343,Aklavik,CA,68.2191,-135.0107,-23.8,69,100,10.36,light snow
344,Ishigaki,JP,24.3448,124.1572,69.4,78,78,8.79,broken clouds
